ID_ND_NALEZ;IDX_ND_AKCE;DRUH;CESKE_JME;AUTOR;DATUM_OD;DATUM_DO;IDX_ND_LOK;LOKALITA;KOD_LOKALITY;SKUPINA;EVL;PROC_EVL;NEGATIVNI;IDX_ND_LOKALIZACE;MAX_PROC;POLE;DATUM;DEN;MESIC;ROK;kod_chu;nazev_chu;KOD_LOKAL;CILMON;STAV_IND;ID_IND;HOD_IND;TYP_IND;LIM_IND;JEDNOTKA;KLIC;UROVEN;pozn;...34;LIM_INDLIST;IND_GRP;NAZEV;pracoviste;oop
43768716;10140656;Rhodeus amarus;hořavka duhová;Merta Lukáš;26.09.2017;26.09.2017;6372546;Meliorák - Strážnice_rozdělovací objekt;NA;Ryby a mihule;CZ0623797: Strážnicko;100;0;6372546;100;7069d;2017-09-26;26;9;2017;CZ0623797;Strážnicko;CZ0623797;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Strážnicko;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje
43768716;10140656;Rhodeus amarus;hořavka duhová;Merta Lukáš;26.09.2017;26.09.2017;6372546;Meliorák - Strážnice_rozdělovací objekt;NA;Ryby a mihule;CZ0623797: Strážnicko;100;0;6372546;100;7069d;2017-09-26;26;9;2017;CZ0623797;Strážnicko;CZ0623797;0;0;POP_VITALITA;0;min;2;kategorie;ano;lok;NA;NA;alespoň 2 kategorie;minmax;Strážnicko;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje
43768727;10140659;Misgurnus fossilis;piskoř pruhovaný;Merta Lukáš;26.09.2017;26.09.2017;6372549;Medvídka - Petrov II;NA;Ryby a mihule;CZ0624068: Strážnická Morava;100;1;6372549;100;7169b;2017-09-26;26;9;2017;CZ0624068;Strážnická Morava;CZ0624068;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Strážnická Morava;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje
43768727;10140659;Misgurnus fossilis;piskoř pruhovaný;Merta Lukáš;26.09.2017;26.09.2017;6372549;Medvídka - Petrov II;NA;Ryby a mihule;CZ0624068: Strážnická Morava;100;1;6372549;100;7169b;2017-09-26;26;9;2017;CZ0624068;Strážnická Morava;CZ0624068;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Strážnická Morava;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje
43769200;10140919;Eudontomyzon mariae;mihule ukrajinská;Merta Lukáš;29.09.2017;29.09.2017;6372756;Račinka - Velké Losiny (ř. km 0,6);NA;Ryby a mihule;CZ0713004: Račinka;100;0;6372756;100;5968c;2017-09-29;29;9;2017;CZ0713004;Račinka;CZ0713004;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Račinka;RP Olomoucko;Krajský úřad Olomouckého kraje
43769200;10140919;Eudontomyzon mariae;mihule ukrajinská;Merta Lukáš;29.09.2017;29.09.2017;6372756;Račinka - Velké Losiny (ř. km 0,6);NA;Ryby a mihule;CZ0713004: Račinka;100;0;6372756;100;5968c;2017-09-29;29;9;2017;CZ0713004;Račinka;CZ0713004;0;0;POP_VITALITA;0;val;3;kategorie;ano;lok;NA;NA;3;val;Račinka;RP Olomoucko;Krajský úřad Olomouckého kraje
43769201;10140920;Eudontomyzon mariae;mihule ukrajinská;Merta Lukáš;29.09.2017;29.09.2017;6372757;Račinka - Velké Losiny (ř. km 1,3);NA;Ryby a mihule;CZ0713004: Račinka;100;0;6372757;100;5968c;2017-09-29;29;9;2017;CZ0713004;Račinka;CZ0713004;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Račinka;RP Olomoucko;Krajský úřad Olomouckého kraje
43769201;10140920;Eudontomyzon mariae;mihule ukrajinská;Merta Lukáš;29.09.2017;29.09.2017;6372757;Račinka - Velké Losiny (ř. km 1,3);NA;Ryby a mihule;CZ0713004: Račinka;100;0;6372757;100;5968c;2017-09-29;29;9;2017;CZ0713004;Račinka;CZ0713004;0;0;POP_VITALITA;0;val;3;kategorie;ano;lok;NA;NA;3;val;Račinka;RP Olomoucko;Krajský úřad Olomouckého kraje
43770919;10141054;Cottus gobio;vranka obecná;Jurajda P.;13.07.2017;13.07.2017;6372942;Zdobnice - Pěčín;NA;Ryby a mihule;CZ0520604: Zdobnice - Říčka;100;0;6372942;100;5864a;2017-07-13;13;7;2017;CZ0520604;Zdobnice - Říčka;CZ0520604;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Zdobnice - Říčka;RP Východní Čechy;AOPK ČR - RP Východní Čechy, Krajský úřad Královéhradeckého kraje
43770919;10141054;Cottus gobio;vranka obecná;Jurajda P.;13.07.2017;13.07.2017;6372942;Zdobnice - Pěčín;NA;Ryby a mihule;CZ0520604: Zdobnice - Říčka;100;0;6372942;100;5864a;2017-07-13;13;7;2017;CZ0520604;Zdobnice - Říčka;CZ0520604;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Zdobnice - Říčka;RP Východní Čechy;AOPK ČR - RP Východní Čechy, Krajský úřad Královéhradeckého kraje
43770920;10141055;Lampetra planeri;mihule potoční;Jurajda P.;06.09.2017;06.09.2017;6372942;Zdobnice - Pěčín;NA;Ryby a mihule;CZ0520604: Zdobnice - Říčka;100;0;6372942;100;5864a;2017-09-06;6;9;2017;CZ0520604;Zdobnice - Říčka;CZ0520604;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Zdobnice - Říčka;RP Východní Čechy;AOPK ČR - RP Východní Čechy, Krajský úřad Královéhradeckého kraje
43770920;10141055;Lampetra planeri;mihule potoční;Jurajda P.;06.09.2017;06.09.2017;6372942;Zdobnice - Pěčín;NA;Ryby a mihule;CZ0520604: Zdobnice - Říčka;100;0;6372942;100;5864a;2017-09-06;6;9;2017;CZ0520604;Zdobnice - Říčka;CZ0520604;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Zdobnice - Říčka;RP Východní Čechy;AOPK ČR - RP Východní Čechy, Krajský úřad Královéhradeckého kraje
43770921;10141055;Cottus gobio;vranka obecná;Jurajda P.;06.09.2017;06.09.2017;6372942;Zdobnice - Pěčín;NA;Ryby a mihule;CZ0520604: Zdobnice - Říčka;100;0;6372942;100;5864a;2017-09-06;6;9;2017;CZ0520604;Zdobnice - Říčka;CZ0520604;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Zdobnice - Říčka;RP Východní Čechy;AOPK ČR - RP Východní Čechy, Krajský úřad Královéhradeckého kraje
43770921;10141055;Cottus gobio;vranka obecná;Jurajda P.;06.09.2017;06.09.2017;6372942;Zdobnice - Pěčín;NA;Ryby a mihule;CZ0520604: Zdobnice - Říčka;100;0;6372942;100;5864a;2017-09-06;6;9;2017;CZ0520604;Zdobnice - Říčka;CZ0520604;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Zdobnice - Říčka;RP Východní Čechy;AOPK ČR - RP Východní Čechy, Krajský úřad Královéhradeckého kraje
43770945;10141056;Cottus gobio;vranka obecná;Jurajda P.;13.07.2017;13.07.2017;6372943;Zdobnice - most Bělá;NA;Ryby a mihule;CZ0520604: Zdobnice - Říčka;100;0;6372943;100;5864a;2017-07-13;13;7;2017;CZ0520604;Zdobnice - Říčka;CZ0520604;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Zdobnice - Říčka;RP Východní Čechy;AOPK ČR - RP Východní Čechy, Krajský úřad Královéhradeckého kraje
43770945;10141056;Cottus gobio;vranka obecná;Jurajda P.;13.07.2017;13.07.2017;6372943;Zdobnice - most Bělá;NA;Ryby a mihule;CZ0520604: Zdobnice - Říčka;100;0;6372943;100;5864a;2017-07-13;13;7;2017;CZ0520604;Zdobnice - Říčka;CZ0520604;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Zdobnice - Říčka;RP Východní Čechy;AOPK ČR - RP Východní Čechy, Krajský úřad Královéhradeckého kraje
