"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","hodnocene_obdobi_od","hodnocene_obdobi_do","oop","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","pracoviste","metodika"
"Druh","CZ0612145","Rychtáøský rybník","Coleanthus subtilis",NA,2012-05-13,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612145","Rychtáøský rybník","Coleanthus subtilis",NA,2012-05-13,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0614052","Rybníky u Rudolce","Coleanthus subtilis",NA,2012-05-22,2024-05-28,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0614052","Rybníky u Rudolce","Coleanthus subtilis",NA,2012-05-22,2024-05-28,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0614057","Znìtínské rybníky","Coleanthus subtilis",NA,2012-05-28,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0614057","Znìtínské rybníky","Coleanthus subtilis",NA,2012-05-28,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0614058","Rybníky V Pouštích","Coleanthus subtilis",NA,2014-06-03,2024-05-28,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0614058","Rybníky V Pouštích","Coleanthus subtilis",NA,2014-06-03,2024-05-28,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0614132","Kamenický rybník","Coleanthus subtilis",NA,2014-06-23,2024-05-27,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0614132","Kamenický rybník","Coleanthus subtilis",NA,2014-06-23,2024-05-27,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0212004","Malíkovická stráò","Cypripedium calceolus",NA,2012-06-07,2024-06-07,"Krajský úøad Støedoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0212004","Malíkovická stráò","Cypripedium calceolus",NA,2012-06-07,2024-06-07,"Krajský úøad Støedoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0212019","Smradovna","Cypripedium calceolus",NA,2012-05-31,2024-05-19,"AOPK ÈR - RP Støední Èechy, Krajský úøad Støedoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0212019","Smradovna","Cypripedium calceolus",NA,2012-05-31,2024-05-19,"AOPK ÈR - RP Støední Èechy, Krajský úøad Støedoèeského kraje",NA,"100","50","% lokalit v dobrém stavu","dobrý","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0212022","Slepeè","Cypripedium calceolus",NA,2021-06-10,2023-06-13,"Krajský úøad Støedoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Kokoøínsko - Máchùv kraj",15087
"Druh","CZ0212022","Slepeè","Cypripedium calceolus",NA,2021-06-10,2023-06-13,"Krajský úøad Støedoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Kokoøínsko - Máchùv kraj",15087
"Druh","CZ0212024","Èervené dolíky","Cypripedium calceolus",NA,2012-05-24,2023-07-19,"Krajský úøad Støedoèeského kraje, AOPK ÈR - RP Støední Èechy",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0212024","Èervené dolíky","Cypripedium calceolus",NA,2012-05-24,2023-07-19,"Krajský úøad Støedoèeského kraje, AOPK ÈR - RP Støední Èechy",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0212025","Ostrov u Jedomìlic","Cypripedium calceolus",NA,2012-05-24,2023-07-19,"Krajský úøad Støedoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0212025","Ostrov u Jedomìlic","Cypripedium calceolus",NA,2012-05-24,2023-07-19,"Krajský úøad Støedoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0214010","Dománovický les","Cypripedium calceolus",NA,2012-05-10,2024-05-23,"Krajský úøad Støedoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0214010","Dománovický les","Cypripedium calceolus",NA,2012-05-10,2024-05-23,"Krajský úøad Støedoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0214013","Kokoøínsko","Cypripedium calceolus",NA,2012-05-23,2024-06-07,"AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj, Krajský úøad Støedoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Kokoøínsko - Máchùv kraj",15087
"Druh","CZ0214013","Kokoøínsko","Cypripedium calceolus",NA,2012-05-23,2024-06-07,"AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj, Krajský úøad Støedoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Kokoøínsko - Máchùv kraj",15087
"Druh","CZ0422085","Sobìchlebské terasy","Cypripedium calceolus",NA,2012-05-23,2022-06-02,"Krajský úøad Ústeckého kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0422085","Sobìchlebské terasy","Cypripedium calceolus",NA,2012-05-23,2022-06-02,"Krajský úøad Ústeckého kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0422087","V kuksu","Cypripedium calceolus",NA,2012-05-27,2022-05-25,"Krajský úøad Ústeckého kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Èeské støedohoøí",15087
"Druh","CZ0422087","V kuksu","Cypripedium calceolus",NA,2012-05-27,2022-05-25,"Krajský úøad Ústeckého kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Èeské støedohoøí",15087
