"SITECODE","NAZEV","DRUH","FEATURE_CODE","BIOTOP_PLOCHA","BIOTOP_PROCENTO"
"CZ0213802","V hladomoří","Euplagia quadripunctaria",6199,114.413335248901,0.780239249051205
"CZ0214017","Karlštejn - Koda","Euplagia quadripunctaria",6199,2172.74340329461,0.817427851320546
"CZ0214037","Kotýz","Euplagia quadripunctaria",6199,19.2942912293102,0.663883482078281
"CZ0314124","Blanský les","Euplagia quadripunctaria",6199,4311.30267578759,0.194098408365527
"CZ0324025","Kaňon Střely","Euplagia quadripunctaria",6199,266.929563654031,0.744723851483544
"CZ0423201","Blšanský chlum","Euplagia quadripunctaria",6199,25.8882408273278,0.904220639582168
"CZ0423212","Hořenec - Číčov","Euplagia quadripunctaria",6199,10.120950705345,0.485860122258158
"CZ0423225","Radobýl","Euplagia quadripunctaria",6199,29.2256345099507,0.996476471871251
"CZ0423227","Sinutec - Dlouhý kopec","Euplagia quadripunctaria",6199,17.0508392888168,0.539949895020535
"CZ0423232","Vrch Hazmburk","Euplagia quadripunctaria",6199,19.6528525098721,0.62608435112836
"CZ0423236","Všechlapy - Kamýk","Euplagia quadripunctaria",6199,8.69421287735235,0.719416891655833
"CZ0424037","Lovoš","Euplagia quadripunctaria",6199,235.244638013305,0.803034382350401
"CZ0424039","Oblík - Srdov - Brník","Euplagia quadripunctaria",6199,230.567732137548,0.68792116702055
"CZ0424129","Bílé stráně u Litoměřic","Euplagia quadripunctaria",6199,55.2094602863333,0.863733051583847
"CZ0513506","Horní Ploučnice","Euplagia quadripunctaria",6199,591.339748057486,0.676948371124615
"CZ0614131","Údolí Oslavy a Chvojnice","Euplagia quadripunctaria",6199,1209.48545113384,0.517071846742886
"CZ0614134","Údolí Jihlavy","Euplagia quadripunctaria",6199,693.256487115927,0.804308970640722
"CZ0623035","Bílý kopec u Čejče","Euplagia quadripunctaria",6199,22.3292352300499,0.306052255858206
"CZ0623354","Crhov - Rozsíčka","Euplagia quadripunctaria",6199,8.08715151662414,0.294201325629344
"CZ0623355","Lovčický potok a Jordánek","Euplagia quadripunctaria",6199,31.4372423858298,0.868586962780308
"CZ0624043","Stolová hora","Euplagia quadripunctaria",6199,51.6859688058108,0.670216537452405
"CZ0624060","Pouzdřanská step - Kolby","Euplagia quadripunctaria",6199,119.301933517956,0.672422682275856
"CZ0624070","Hodonínská doubrava","Euplagia quadripunctaria",6199,1534.49257109156,0.506586420341642
"CZ0624072","Čertoryje","Euplagia quadripunctaria",6199,3664.65917383419,0.75481282956286
"CZ0624096","Podyjí","Euplagia quadripunctaria",6199,4719.60222114934,0.752351482598114
"CZ0624100","Milovický les","Euplagia quadripunctaria",6199,1737.25984306914,0.711056729039562
"CZ0624101","Kuntínov","Euplagia quadripunctaria",6199,561.506281030865,0.848891780500613
"CZ0624104","Děvín","Euplagia quadripunctaria",6199,342.108167869127,0.841968329934874
"CZ0624114","Přední kout","Euplagia quadripunctaria",6199,536.591419477976,0.774489136959153
"CZ0624130","Moravský kras","Euplagia quadripunctaria",6199,4458.546890042,0.687477597865714
"CZ0624234","Svatý kopeček u Mikulova","Euplagia quadripunctaria",6199,40.8800133133763,0.871785575303747
"CZ0714076","Kosíř - Lomy","Euplagia quadripunctaria",6199,30.3760057587329,0.726599132236647
"CZ0714083","Malý Kosíř","Euplagia quadripunctaria",6199,10.5453333574389,0.788012867402771
"CZ0714772","Údolí Bystřice","Euplagia quadripunctaria",6199,504.027105889717,0.671031296572665
"CZ0724090","Bílé Karpaty","Euplagia quadripunctaria",6199,13145.8814924466,0.655873845157308
"CZ0724430","Vlárský průsmyk","Euplagia quadripunctaria",6199,2383.67730561802,0.751324731216914
"CZ0813474","Údolí Moravice","Euplagia quadripunctaria",6199,176.634784559622,0.791153690446484
