sitecode;typ_chu;nazev_chu;pracoviste;,,
CZ0423507;EVL;Horní Kamenice;RP SCHKO Èeské støedohoøí,,;
CZ0722198;EVL;Hodòovská dolina;RP SCHKO Bílé Karpaty,,;
CZ0722199;EVL;Hrušová dolina;RP SCHKO Bílé Karpaty,,;
CZ0720422;EVL;Valy-Buèník;RP SCHKO Bílé Karpaty,,;
CZ0720437;EVL;Valentová;RP SCHKO Bílé Karpaty,,;
CZ0723421;EVL;Remízy u Bánova;RP SCHKO Bílé Karpaty,,;
CZ0723751;EVL;Komòa - kostel;RP SCHKO Bílé Karpaty,,;
CZ0723756;EVL;Slavièín - kostel;RP SCHKO Bílé Karpaty,,;
CZ0723757;EVL;Slavièín - zámek;RP SCHKO Bílé Karpaty,,;
CZ0720428;EVL;Na Koncoch;RP SCHKO Bílé Karpaty,,;
CZ0724090;EVL;Bílé Karpaty;RP SCHKO Bílé Karpaty,,;
CZ0624072;EVL;Èertoryje;RP SCHKO Bílé Karpaty,,;
CZ0724430;EVL;Vlárskı prùsmyk;RP SCHKO Bílé Karpaty,,;
CZ0723434;EVL;Vlára;RP SCHKO Bílé Karpaty,,;
CZ0421006;PO;Labské pískovce;RP SCHKO Èeské støedohoøí,,;
CZ0513505;EVL;Dolní Plouènice;RP SCHKO Èeské støedohoøí,,;
CZ0420454;EVL;Lipská hora;RP SCHKO Èeské støedohoøí,,;
CZ0422077;EVL;Kleneè;RP SCHKO Èeské støedohoøí,,;
CZ0424039;EVL;Oblík - Srdov - Brník;RP SCHKO Èeské støedohoøí,,;
CZ0424129;EVL;Bílé stránì u Litomìøic;RP SCHKO Èeské støedohoøí,,;
CZ0423198;EVL;Bezejmennı pøítok Trojhorského potoka;RP SCHKO Èeské støedohoøí,,;
CZ0423202;EVL;Bøezina;RP SCHKO Èeské støedohoøí,,;
CZ0423206;EVL;Dobrná;RP SCHKO Èeské støedohoøí,,;
CZ0423212;EVL;Hoøenec - Èíèov;RP SCHKO Èeské støedohoøí,,;
CZ0423219;EVL;Luèní potok - Tøebušín;RP SCHKO Èeské støedohoøí,,;
CZ0420026;EVL;Boøeò;RP SCHKO Èeské støedohoøí,,;
CZ0420165;EVL;Velkı vrch - Èernodoly;RP SCHKO Èeské støedohoøí,,;
CZ0420406;EVL;Køíové vršky, Malı vrch, Šibeník;RP SCHKO Èeské støedohoøí,,;
CZ0420455;EVL;Lhota;RP SCHKO Èeské støedohoøí,,;
CZ0420456;EVL;Ostrı;RP SCHKO Èeské støedohoøí,,;
CZ0420462;EVL;Plešivec;RP SCHKO Èeské støedohoøí,,;
CZ0423001;EVL;Huníkovskı potok;RP SCHKO Èeské støedohoøí,,;
CZ0423224;EVL;Ploskovice;RP SCHKO Èeské støedohoøí,,;
CZ0423225;EVL;Radobıl;RP SCHKO Èeské støedohoøí,,;
CZ0423227;EVL;Sinutec - Dlouhı kopec;RP SCHKO Èeské støedohoøí,,;
CZ0423233;EVL;Vrch Milá;RP SCHKO Èeské støedohoøí,,;
